"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ"
"cHET_df.5","15",1120805,"cHET","none",1120805,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"cHET_df.6","15",1143501,"cHET","none",1143501,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"cHET_df.7","16",1427944,"cHET","none",1427944,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"cHET_df.8","16",1414110,"cHET","none",1414110,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"cHET_df.9","16",1527511,"cHET","none",1527511,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"cHET_df.10","24",1101844,"cHET","none",1101844,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"cHET_df.11","24",1075003,"cHET","none",1075003,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"cHET_df.12","24",1120202,"cHET","none",1120202,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"cHET_df.13","27",1344675,"cHET","none",1344675,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"cHET_df.14","27",1315059,"cHET","none",1315059,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"cHET_df.15","27",1346284,"cHET","none",1346284,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"cHET_df.16","28",1171843,"cHET","none",1171843,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"cHET_df.17","28",1004764,"cHET","none",1004764,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"cHET_df.18","28",1027852,"cHET","none",1027852,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B7_df.1","06",93309,"B7","none",93309,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B7_df.2","06",89586,"B7","none",89586,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B7_df.3","06",98316,"B7","none",98316,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B7_df.4","15",313680,"B7","none",313680,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B7_df.5","15",296917,"B7","none",296917,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B7_df.6","15",286850,"B7","none",286850,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B7_df.7","16",141376,"B7","none",141376,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B7_df.8","16",184033,"B7","none",184033,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B7_df.9","16",152229,"B7","none",152229,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B7_df.10","24",56586,"B7","none",56586,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B7_df.11","24",70817,"B7","none",70817,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B7_df.12","24",65157,"B7","none",65157,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B7_df.13","27",78748,"B7","none",78748,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B7_df.14","27",83095,"B7","none",83095,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B7_df.15","27",76474,"B7","none",76474,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B7_df.16","28",72053,"B7","none",72053,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B7_df.17","28",57697,"B7","none",57697,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B7_df.18","28",67054,"B7","none",67054,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B1_df.1","06",145019,"B1","B1",2.14610865286431,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B1_df.2","06",156898,"B1","B1",2.14690548843065,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B1_df.3","06",142711,"B1","B1",2.00403021962591,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"B1_df.4","15",82620,"B1","B1",2.54544334216526,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B1_df.5","15",90722,"B1","B1",2.5318709533378,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B1_df.6","15",116360,"B1","B1",3.78258890839347,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"B1_df.7","16",206597,"B1","B1",5.73148199522832,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B1_df.8","16",174857,"B1","B1",4.80059850647924,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B1_df.9","16",207557,"B1","B1",8.03612358680502,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE
"B1_df.10","24",144166,"B1","B1",3.42404522135664,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B1_df.11","24",147365,"B1","B1",3.6577889197776,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B1_df.12","24",113489,"B1","B1",2.74068439228187,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE
"B1_df.13","27",138967,"B1","B1",3.19383604146078,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B1_df.14","27",100707,"B1","B1",2.03116113027168,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B1_df.15","27",140138,"B1","B1",3.13901084132246,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE
"B1_df.16","28",75752,"B1","B1",2.97732185669929,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B1_df.17","28",84189,"B1","B1",3.47515066457525,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"B1_df.18","28",76013,"B1","B1",2.91527958886247,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE
"TMP_df.1","06",2088,"TMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"TMP_df.2","06",1136,"TMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"TMP_df.3","06",2320,"TMP","none",0,6,"+",39700,1.17269e-08,1,0.00046555793,TRUE,TRUE
"TMP_df.4","15",496,"TMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"TMP_df.5","15",914,"TMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"TMP_df.6","15",1195,"TMP","none",0,6,"-",39900,1.05261e-08,1,0.00041999139,TRUE,TRUE
"TMP_df.7","16",1134,"TMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"TMP_df.8","16",1363,"TMP","none",0,6,"-",39500,1.34888e-08,1,0.0005328076,TRUE,TRUE
"TMP_df.9","16",3011,"TMP","none",3011,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,TRUE
"TMP_df.10","24",590,"TMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"TMP_df.11","24",2339,"TMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"TMP_df.12","24",1691,"TMP","none",0,6,"+",40200,1.17269e-08,1,0.00047142138,TRUE,TRUE
"TMP_df.13","27",1815,"TMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"TMP_df.14","27",1980,"TMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"TMP_df.15","27",1143,"TMP","none",0,6,"-",41500,1.01239e-08,1,0.00042014185,TRUE,TRUE
"TMP_df.16","28",917,"TMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"TMP_df.17","28",2805,"TMP","none",2805,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,TRUE
"TMP_df.18","28",22,"TMP","none",0,6,"+",47400,1.08017e-08,1,0.00051200058,TRUE,TRUE
"SAH_df.1","06",13591,"SAH","none",13591,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAH_df.2","06",13129,"SAH","none",13129,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAH_df.3","06",12780,"SAH","none",12780,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE
"SAH_df.4","15",20995,"SAH","none",20995,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAH_df.5","15",16805,"SAH","none",16805,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
"SAH_df.6","15",18927,"SAH","none",18927,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE
