"","Replicate.Name","Total.Area","Molecule.Name","BMIS_used","Final_Peak","Temperature.Treatment","B12.Treatment","cells_on_column","mgC_cell","culture_replicate_no","mgC_loaded","Below_LOD","Below_LOQ","normtype","normunits","est_fmol_on_column","fmol_cell","fmol_mgC","peak_cell"
"710","16",117288,"SAH","none",117288,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",1388.89766423676,0.0351619661832092,2606752.72694451,2.9693164556962
"810","16",78540,"SAH","none",78540,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",930.052712546512,0.0235456382923168,1745569.53119008,1.98835443037975
"910","16",133461,"SAH","none",133461,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",1580.41463036886,0.0400104969713635,2966201.36493709,3.37875949367089
"1010","24",9372,"SAH","none",9372,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",110.981079984542,0.00276072338270004,235418.003283054,0.233134328358209
"1114","24",12450,"SAH","none",12450,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",147.430051836059,0.00366741422477759,312735.183618654,0.309701492537313
"1211","24",18693,"SAH","none",18693,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",221.358229636261,0.00550642362279257,469554.922681405,0.465
"1310","27",47806,"SAH","none",47806,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE,"BMIS_cell","fmol_cell",566.107715508003,0.0136411497712772,1347420.43790211,1.15195180722892
"1410","27",48351,"SAH","none",48351,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE,"BMIS_cell","fmol_cell",572.56148082934,0.0137966621886588,1362781.35784222,1.1650843373494
"1510","27",45212,"SAH","none",45212,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE,"BMIS_cell","fmol_cell",535.390160932683,0.0129009677333177,1274308.09602205,1.08944578313253
"1610","28",12182,"SAH","none",12182,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"BMIS_cell","fmol_cell",144.256457145933,0.00304338517185514,281750.573692579,0.257004219409283
"1710","28",12207,"SAH","none",12207,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"BMIS_cell","fmol_cell",144.552501426729,0.00304963083178753,282328.784523503,0.25753164556962
"1810","28",17626,"SAH","none",17626,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"BMIS_cell","fmol_cell",208.723059731918,0.00440344007873244,407661.76423456,0.371856540084388
"150","06",39212,"SAM","none",39212,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",273.804107558842,0.00689682890576429,588120.381836998,0.987707808564232
"211","06",39398,"SAM","none",39398,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",275.102882525841,0.00692954364044939,590910.099041468,0.992392947103275
"311","06",43240,"SAM","none",43240,6,"+",39700,1.17269e-08,1,0.00046555793,FALSE,FALSE,"BMIS_cell","fmol_cell",301.930266521584,0.0076052963859341,648534.257641329,1.08916876574307
"411","15",39994,"SAM","none",39994,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",279.264548549126,0.0069991114924593,664929.222832702,1.00235588972431
"511","15",39904,"SAM","none",39904,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",278.636109048966,0.00698336112904676,663432.907634049,1.00010025062657
"611","15",42210,"SAM","none",42210,6,"-",39900,1.05261e-08,1,0.00041999139,FALSE,FALSE,"BMIS_cell","fmol_cell",294.738125575302,0.00738692044048375,701771.828168434,1.05789473684211
"711","16",93471,"SAM","none",93471,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",652.676316883417,0.0165234510603397,1224975.61386778,2.36635443037975
"811","16",70797,"SAM","none",70797,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",494.351458809634,0.0125152268053072,927823.587369312,1.79232911392405
"911","16",85433,"SAM","none",85433,6,"-",39500,1.34888e-08,1,0.0005328076,FALSE,FALSE,"BMIS_cell","fmol_cell",596.549686857966,0.0151025237179232,1119634.34241172,2.16286075949367
"1011","24",36652,"SAM","none",36652,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",255.928495109831,0.00636638047536893,542886.907483557,0.911741293532338
"1115","24",39113,"SAM","none",39113,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",273.112824108666,0.00679385134598671,579339.07051196,0.972960199004975
"1212","24",39134,"SAM","none",39134,6,"+",40200,1.17269e-08,1,0.00047142138,FALSE,FALSE,"BMIS_cell","fmol_cell",273.259459992036,0.00679749900477703,579650.121070106,0.973482587064677
"1311","27",67442,"SAM","none",67442,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE,"BMIS_cell","fmol_cell",470.924630775871,0.0113475814644788,1120870.56020692,1.62510843373494
"1411","27",75543,"SAM","none",75543,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE,"BMIS_cell","fmol_cell",527.491168451434,0.0127106305650948,1255507.32080471,1.82031325301205
"1511","27",67330,"SAM","none",67330,6,"-",41500,1.01239e-08,1,0.00042014185,FALSE,FALSE,"BMIS_cell","fmol_cell",470.142572731226,0.0113287366923187,1119009.145914,1.62240963855422
"1611","28",56938,"SAM","none",56938,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"BMIS_cell","fmol_cell",397.578758446021,0.00838773751995824,776520.132938171,1.20122362869198
"1711","28",55092,"SAM","none",55092,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"BMIS_cell","fmol_cell",384.688766031616,0.00811579675172186,751344.395023178,1.16227848101266
"1811","28",58173,"SAM","none",58173,6,"+",47400,1.08017e-08,1,0.00051200058,FALSE,FALSE,"BMIS_cell","fmol_cell",406.202344920446,0.00856966972406004,793363.056191159,1.22727848101266
